Country,Job_Title,Max_Salary
Australia,"Early childhood teacher",92400
Australia,"Credit Officer",92400
Australia,"Sales Analyst",92400
Australia,"Property Manager",92400
Australia,"Trade Specialist",92400
Australia,"Early childhood educator",92400
Australia,"Implementation Manager",90000
Australia,"Office administrator",89320
Australia,"Digital Content Producer",89320
Australia,"Media coordinator",85008
Australia,"Project Lead",84700
Australia,"Department Coordinator",84700
Australia,"Client Services Officer",84700
Australia,Receptionist,84700
Australia,"Admin Assistant",84700
Australia,"Technical Officer",84700
Australia,"Member services",84700
Australia,"Operational Services",83000
Australia,"Admin/Assistant/Broker Support",81681.6
Australia,"Events & Marketing Manager",80080
Australia,"Learning Support Assistant",80080
Australia,"Office Manager",80000
Australia,"Field Coordinator",79464
Australia,"Supporter Operations",79310
Australia,"Assistant winemaker",78182.72
Australia,"Office/Payroll Officer",77924
Australia,"Business Development Officer",77000
Australia,"Music Therapist",71374.38
Australia,Veterinarian,70000
Australia,"Platform Executive",69300
Australia,"Real Estate Agent",66762.08
Australia,"Inbound Sales",66702.02
Australia,"department assistant manager",66220
Australia,"Support coordinator",64680
Australia,"Assistant Buyer",61500
Australia,"Exhibitions coordinator",57000
Australia,"Senior Investigator",56000
Australia,"Bakery assistant",49280
Australia,"Library Assistant",38118.08
Australia,"Private Tutor",3696
Austria,"DevOps Lead",104880
Austria,"Engineering Manager",91770
Austria,"Software Engineer",61180
Austria,"Manager, Team Lead",53838.4
Austria,"Product Development Manager",52614.8
Austria,"Application Manager",50692
Austria,"Programme Manager",49818
Austria,"Research Associate",46496.8
Austria,"Senior Software Engineer",45885
Austria,"Purchasing Agent",43700
Austria,"Legal Advisor",41078
Austria,"Head of Marketing",40204
Austria,"high school teacher",34960
Austria,Associate,29366.4
Austria,"IT Admin",26220
Austria,"Cashier (Aldi)",24472
Bangladesh,"Program specialist",845000
Bangladesh,Diplomat,70000
Belgium,Compliance,157320
Belgium,"general counsel",148580
Belgium,Director,135470
Belgium,"Legal Counsel",87400
Belgium,Translator,87400
Belgium,"Chief Marketing Officer",78660
Belgium,"product development manager",76475
Belgium,Manager,74290
Belgium,"Senior Project Manager",69920
Belgium,"IT Category Manager",63802
Belgium,"Test expert",61180
Belgium,Teacher,60000
Belgium,"Associate professor",57684
Belgium,"project management support",56810
